Q14
A - star wars
8700,0  0,7000  0,7000  2,7000  0,7000  0,7000
8700,1  0,7000  0,7000  2,7000  0,7000  0,7000
8950,0  0,7000  2,5000  0,7000  2,7000  0,7000
8950,1  0,7000  2,5000  0,7000  2,7000  0,7000
9400,0  0,7000  0,7000  2,7000  0,7000  0,7000
9400,1  0,7000  0,7000  2,7000  0,7000  0,7000
16000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - handybomb
0500,0  0,7000  0,7000  0,7000  0,7000  0,7000
0500,1  0,7000  12,7000 0,7000  0,7000  0,7000
0750,0  0,7000  0,7000  0,7000  0,7000  0,7000
0750,1  0,7000  2,7000  0,7000  0,7000  0,7000
4000,0  0,7000  0,7000  0,7000  12,7000 0,7000
4000,1  0,7000  0,7000  0,7000  0,7000  0,7000
4500,0  0,7000  0,7000  0,7000  2,7000  0,7000
4500,1  0,7000  0,7000  0,7000  0,7000  0,7000
6000,0  0,7000  0,7000  0,7000  0,7000  0,7000
8000,1  0,7000  0,7000  12,3000 0,7000  0,7000
8500,0  2,3000  0,7000  2,3000  0,7000  2,3000
8500,1  2,3000  0,7000  2,3000  0,7000  2,3000
9500,0  0,7000  2,3000  0,7000  2,3000  0,7000
9500,1  0,7000  2,3000  0,7000  2,3000  0,7000
10500,0  0,7000  0,7000  2,3000  0,7000  0,7000
10500,1  0,7000  0,7000  2,3000  0,7000  0,7000
15000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - hoedown
0500,0  2,7000  7,2000  2,7000  7,2000  2,7000
0500,1  7,2000  2,7000  7,2000  2,7000  7,2000
5500,0  2,7000  2,7000  2,7000  2,7000  2,7000
5500,1  2,7000  2,7000  2,7000  2,7000  2,7000
7500,0  2,3500  2,3500  2,3500  2,3500  2,3500
7500,1  2,3500  2,3500  2,3500  2,3500  2,3500
15000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - kanga and zig
500,1   0,7000  1,7000  0,7000  0,7000  0,7000
2500,0  5,7000  0,7000  0,7000  0,7000  0,7000
2700,0  0,7000  0,7000  0,7000  5,7000  0,7000
2900,0  0,7000  5,7000  0,7000  0,7000  0,7000
3100,0  0,7000  0,7000  0,7000  0,7000  5,7000
4100,0  5,7000  0,7000  0,7000  0,7000  0,7000
4300,0  0,7000  0,7000  0,7000  5,7000  0,7000
4500,0  0,7000  5,7000  0,7000  0,7000  0,7000
4700,0  0,7000  0,7000  0,7000  0,7000  5,7000
9200,1  0,7000  1,7000  0,7000  0,7000  0,7000
11500,0 0,7000  0,7000  0,7000  1,7000  0,7000
11700,0 0,7000  0,7000  0,7000  1,7000  0,7000
11900,0 0,7000  1,7000  0,7000  1,7000  0,7000
12100,0 1,7000  0,7000  1,7000  0,7000  1,7000
12100,1 0,7000  0,7000  0,7000  5,7000  0,7000
12300,0 0,7000  1,7000  0,7000  1,7000  0,7000
12400,0 1,7000  0,7000  1,7000  0,7000  1,7000
12500,0 0,7000  1,7000  0,7000  0,7000  1,7000
12600,0 0,7000  0,7000  1,7000  0,7000  0,7000
12700,0 1,7000  1,7000  0,7000  1,7000  1,7000
12700,1 5,7000  0,7000  0,7000  0,7000  0,7000
12900,1 0,7000  0,7000  0,7000  5,7000  0,7000
13100,1 0,7000  5,7000  0,7000  0,7000  0,7000
13300,1 0,7000  0,7000  0,7000  0,7000  5,7000
13800,1 0,7000  0,7000  0,7000  5,7000  0,7000
14000,1 0,7000  5,7000  0,7000  0,7000  0,7000
19000,0 5,1700  0,7000  0,7000  0,7000  0,7000
22000,1 1,7000  1,7000  1,7000  1,7000  1,7000
22100,1 1,7000  1,7000  1,7000  1,7000  1,7000
22200,1 1,7000  1,7000  1,7000  1,7000  1,7000
22300,1 1,7000  1,7000  1,7000  1,7000  1,7000
22400,1 1,7000  1,7000  1,7000  1,7000  1,7000
22500,1 1,7000  1,7000  1,7000  1,7000  1,7000
22600,1 1,7000  1,7000  1,7000  1,7000  1,7000
28000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - zap and cluck
500,0   4,7000  0,7000  0,7000  0,7000  0,7000
500,1   0,7000  0,7000  0,7000  0,7000  4,7000
5400,0  0,7000  0,7000  0,7000  0,7000  4,7000
5400,1  4,7000  0,7000  0,7000  0,7000  0,7000
5800,0  0,7000  0,7000  0,7000  4,7000  0,7000
5800,1  0,7000  4,7000  0,7000  0,7000  0,7000
10700,0 4,7000  0,7000  0,7000  0,7000  0,7000
10700,1 0,7000  0,7000  0,7000  0,7000  4,7000
11100,0 0,7000  4,7000  0,7000  0,7000  0,7000
11100,1 0,7000  0,7000  0,7000  4,7000  0,7000
11800,0 4,7000  0,7000  0,7000  0,7000  0,7000
11800,1 0,7000  0,7000  0,7000  0,7000  4,7000
12200,0 0,7000  4,7000  0,7000  0,7000  0,7000
12200,1 0,7000  0,7000  0,7000  4,7000  0,7000
17000,1 0,7000  0,7000  3,3000  0,7000  0,7000
20000,0 4,7000  0,7000  0,7000  0,7000  0,7000
20500,0 0,7000  0,7000  0,7000  4,7000  0,7000
20800,0 0,7000  4,7000  0,7000  0,7000  0,7000
21100,0 4,7000  0,7000  0,7000  0,7000  0,7000
21400,0 0,7000  0,7000  0,7000  0,7000  4,7000
21700,0 0,7000  0,7000  0,7000  4,7000  0,7000
22000,0 0,7000  4,7000  0,7000  0,7000  0,7000
22300,0 4,7000  0,7000  0,7000  0,7000  0,7000
22600,0 0,7000  0,7000  0,7000  0,7000  4,7000
22900,0 0,7000  0,7000  0,7000  4,7000  0,7000
23200,0 0,7000  4,7000  0,7000  0,7000  0,7000
23500,0 4,7000  0,7000  0,7000  0,7000  0,7000
23800,0 0,7000  0,7000  0,7000  0,7000  4,7000
29000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - zap and orbit
600,0   11,7000 11,7000 11,7000 11,7000 11,7000
1400,0  11,7000 11,7000 11,7000 11,7000 11,7000
2200,0  11,7000 11,7000 11,7000 11,7000 11,7000
3000,0  11,7000 11,7000 11,7000 11,7000 11,7000
4200,0  0,7000  0,7000  4,7000  0,7000  0,7000
5600,1  11,7000 11,7000 11,7000 11,7000 11,7000
6400,1  11,7000 11,7000 11,7000 11,7000 11,7000
7200,1  11,7000 11,7000 11,7000 11,7000 11,7000
8000,1  11,7000 11,7000 11,7000 11,7000 11,7000
9650,1  4,7000  0,7000  0,7000  0,7000  0,7000
11100,0 11,7000 11,7000 11,7000 11,7000 0,7000
11900,0 11,7000 11,7000 11,7000 0,7000  11,7000
12700,0 11,7000 11,7000 0,7000  11,7000 11,7000
13500,0 11,7000 0,7000  11,7000 11,7000 11,7000
16000,1 0,7000  0,7000  11,2400 0,7000  0,7000
16500,0 4,7000  0,7000  0,7000  0,7000  4,3000
22000,0 0,7000  0,7000  0,7000  0,7000  0,7000
0,0 0,0 0,0     0,0     0,0     0,0
A - krushto
500,1   9,7000 9,7000   9,7000  9,7000  9,7000
500,0   9,7000 9,7000   9,7000  9,7000  9,7000
10500,0 8,7000 8,7000   8,7000  8,7000  8,7000
10500,1 8,7000 8,7000   8,7000  8,7000  8,7000
11000,0 8,7000 8,7000   8,7000  8,7000  8,7000
11000,1 8,7000 8,7000   8,7000  8,7000  8,7000
11500,0 8,7000 8,7000   8,7000  8,7000  8,7000
11500,1 8,7000 8,7000   8,7000  8,7000  8,7000
22000,1 0,7000  0,7000  0,7000  0,7000  0,7000          
0,0 0,0 0,0     0,0     0,0     0,0
A - pooral
500,1   0,7000 0,7000   6,7000  0,7000  0,7000
600,0   0,7000 0,7000   11,7000 0,7000  0,7000
1100,0  0,7000 0,7000   11,7000 0,7000  0,7000
1600,0  0,7000 0,7000   11,7000 0,7000  0,7000
2100,0  0,7000 0,7000   11,7000 0,7000  0,7000
2600,0  0,7000 0,7000   11,7000 0,7000  0,7000
3100,0  0,7000 0,7000   11,7000 0,7000  0,7000
3600,0  0,7000 0,7000   11,7000 0,7000  0,7000
4100,0    0,7000 0,7000   11,7000 0,7000  0,7000
4600,0    0,7000 0,7000   11,7000 0,7000  0,7000
5100,0    0,7000 0,7000   11,7000 0,7000  0,7000
5600,0    0,7000 0,7000   11,7000 0,7000  0,7000
6100,0    0,7000 0,7000   11,7000 0,7000  0,7000
6600,0    0,7000 0,7000   11,7000 0,7000  0,7000
7100,0    0,7000 0,7000   11,7000 0,7000  0,7000
7600,0    0,7000 0,7000   11,7000 0,7000  0,7000
8100,0    0,7000 0,7000   11,7000 0,7000  0,7000
10100,0    0,7000 0,7000   10,1500 0,7000  0,7000
11200,1    0,7000 0,7000   11,7000 0,7000  0,7000
11700,1    0,7000 0,7000   11,7000 0,7000  0,7000
12200,1   0,7000 0,7000   11,7000 0,7000  0,7000
12700,1   0,7000 0,7000   11,7000 0,7000  0,7000
13200,1   0,7000 0,7000   11,7000 0,7000  0,7000
13700,1   0,7000 0,7000   11,7000 0,7000  0,7000
14200,1   0,7000 0,7000   11,7000 0,7000  0,7000
14700,1   0,7000 0,7000   11,7000 0,7000  0,7000
15250,1   0,7000 0,7000   2,2000  0,7000  0,7000
19000,1   0,7000  0,7000  0,7000  0,7000  0,7000
0,0     0,0     0,0     0,0     0,0     0,0


